== PARAMETER ==
movement:Lacet
angle:70.0
speed:25
nb_return:5
wait_time:30
== COMMENTS ==
SALUT dOUBLE GUI
JU-JU-JUL
== VALUES ==
yaw pitch roll
43.85411 -0.8783569 1.653364
43.79625 -0.9112549 1.701386
43.66698 -0.8832397 1.781102
43.57192 -0.8865967 1.797692
43.46211 -0.9046326 1.824131
43.2402 -0.8621216 1.887569
43.01548 -0.8705139 1.92774
42.77448 -0.8555908 1.958496
42.44235 -0.7233276 1.961231
42.19316 -0.5493774 1.948175
41.9363 -0.3912048 2.052185
41.65148 -0.2391968 2.097467
41.4897 -0.1857605 2.04927
41.37868 -0.09741211 2.045339
41.25144 0.01558735 1.991806
41.17563 0.005030488 1.917926
41.16248 0.1514147 1.799975
41.16705 0.4144896 1.617597
41.09745 0.3987174 1.508792
40.95002 0.4656892 1.401549
40.84535 0.5335708 1.334662
40.79617 0.5172586 1.29102
40.81681 0.5145997 1.257117
41.00331 0.6207264 1.147983
41.04251 0.804896 1.117587
41.07862 0.7759443 1.112929
41.15708 0.6812821 1.017242
41.18562 0.5741629 0.98996
41.16175 0.3479562 0.9437687
41.15953 0.1779993 0.8748519
41.08891 -0.07769775 0.804232
41.05938 -0.1264954 0.7791954
41.02669 -0.1045837 0.7221836
40.93306 -0.1132507 0.6867704
40.76601 -0.2019653 0.7285639
40.57361 -0.3184509 0.6937568
40.43964 -0.3964233 0.6839389
40.31207 -0.3884583 0.6400087
40.12466 -0.3432312 0.6174948
39.75372 -0.2440491 0.608097
39.18766 -0.1298523 0.526884
38.48388 -0.012146 0.493267
37.91442 0.00356716 0.4347692
37.34623 0.01927429 0.3346019
36.65781 -0.02029419 0.2601524
36.10038 -0.08343506 0.09515453
35.72911 -0.183075 -0.04437256
35.22651 -0.1915894 -0.08578491
34.69065 -0.1493835 -0.05783081
34.24064 -0.2573242 -0.02972412
33.77314 -0.3450928 -0.004411055
33.30277 -0.3651428 -0.04684448
32.86939 -0.3652344 -0.08563232
32.43625 -0.3963013 -0.1069336
32.18195 -0.395752 -0.1940308
31.94336 -0.3311462 -0.1532898
31.5173 -0.3473206 -0.1083679
31.30742 -0.3370361 -0.06143188
